,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Panguna,64,PG,1552023841,86,-6.32,155.48,27.62,1.51
1,Yellowknife,5,CA,1552023546,84,62.45,-114.38,-16.67,2.1
2,Vaini,0,IN,1552021200,15,15.34,74.49,32,3.1
3,Albany,20,US,1552023660,56,42.65,-73.75,-8.89,1.5
4,Prince George,1,CA,1552023619,92,53.92,-122.75,-4.44,0.91
5,Port Alfred,92,ZA,1552023646,96,-33.59,26.89,17.22,0.89
6,Vranje,0,RS,1552023374,93,42.55,21.9,9.44,0.5
7,Mahebourg,40,MU,1552023243,66,-20.41,57.7,30,1.5
8,Ushuaia,24,AR,1552023843,100,-54.81,-68.31,-1.51,1.36
9,Chokurdakh,56,RU,1552023843,77,70.62,147.9,-24.56,1.36
10,Kapuskasing,5,CA,1552021200,78,49.42,-82.43,-12,6.7
11,Cabo San Lucas,5,MX,1552023317,29,22.89,-109.91,25,4.6
12,Chumikan,80,RU,1552023844,70,54.72,135.31,-1.01,2.01
13,Georgetown,20,GY,1552021200,100,6.8,-58.16,23,3.16
14,Nadym,36,RU,1552023845,85,65.53,72.51,-13.01,7.66
15,Longyearbyen,0,NO,1552022400,64,78.22,15.63,-19,2.6
16,Carnarvon,0,ZA,1552023845,72,-30.97,22.13,14.64,6.96
17,Punta Arenas,20,CL,1552023791,70,-53.16,-70.91,7,8.7
18,San Quintin,20,PH,1552023846,48,17.54,120.52,30.84,2.71
19,Luanda,75,AO,1552021200,83,-8.83,13.24,27,1
20,Romny,56,UA,1552023846,90,50.74,33.49,2.74,8.36
21,Hamilton,75,BM,1552023569,62,32.3,-64.78,15,5.1
22,Lebu,88,ET,1552023847,73,8.96,38.73,15.39,1.21
23,Tessalit,0,ML,1552023847,30,20.2,1.01,10.54,2.76
24,Hermanus,80,ZA,1552023084,95,-34.42,19.24,16.11,0.45
25,Naze,0,NG,1552023848,93,5.43,7.07,22.79,1.86
26,Sangar,56,RU,1552023848,58,63.92,127.47,-11.94,3.01
27,Butaritari,88,KI,1552023848,100,3.07,172.79,27.79,5.46
28,Constitucion,0,MX,1552023615,29,23.99,-104.67,16.11,3.58
29,Atuona,64,PF,1552023849,97,-9.8,-139.03,28.44,7.61
30,Saskylakh,24,RU,1552023849,74,71.97,114.09,-21.79,3.91
31,Vitim,80,RU,1552023849,59,59.44,112.57,-7.61,3.56
32,Huicungo,32,PE,1552023849,94,-7.28,-76.8,22.84,0.46
33,Cayenne,0,GF,1552023000,94,4.94,-52.33,22,0.5
34,Salinopolis,68,BR,1552023850,100,-0.61,-47.36,25.22,2.26
35,Carballo,40,ES,1552023510,93,43.21,-8.69,9.44,1.11
36,Mar del Plata,0,AR,1552023719,100,-46.43,-67.52,5.19,0.71
37,Arraial do Cabo,12,BR,1552023850,89,-22.97,-42.02,26.72,6.26
38,Saint-Pierre,40,FR,1552023725,93,48.95,4.24,6,6.2
39,Narsaq,68,GL,1552023851,78,60.91,-46.05,-3.71,6.81
40,Liepaja,68,LV,1552020600,87,56.52,21.02,6,5.1
41,Usinsk,76,RU,1552023852,87,66,57.56,-8.94,6.06
42,Copperas Cove,1,US,1552023590,82,31.12,-97.9,18.33,2.6
43,Nacimiento,8,CL,1552023852,89,-37.5,-72.67,10.49,4.21
44,Lundazi,92,ZM,1552023853,87,-12.29,33.17,20.12,2.31
45,Clyde River,90,CA,1552021200,83,70.47,-68.59,-20,9.3
46,Saldanha,12,PT,1552023853,83,41.42,-6.55,-1.54,1.21
47,Acapulco,5,MX,1552020360,94,16.86,-99.88,26,1.86
48,Busselton,48,AU,1552023615,36,-33.64,115.35,28.33,1.66
49,Jamestown,12,AU,1552023854,32,-33.21,138.6,26.29,2.91
50,Rikitea,44,PF,1552023855,100,-23.12,-134.97,26.69,7.06
51,Victoria,75,BN,1552021200,74,5.28,115.24,30,1.5
52,Kruisfontein,100,ZA,1552023856,100,-34,24.73,18.32,6.01
53,Kavieng,76,PG,1552023856,100,-2.57,150.8,27.74,1.11
54,Faanui,92,PF,1552023856,97,-16.48,-151.75,29.37,8.61
55,Roald,40,NO,1552023076,92,62.58,6.12,0,2.6
56,Tuktoyaktuk,90,CA,1552021200,92,69.44,-133.03,-7,3.6
57,Barrow,8,AR,1552023857,73,-38.31,-60.23,15.07,7.01
58,Tasiilaq,0,GL,1552020600,49,65.61,-37.64,-4,7.2
59,Bredasdorp,88,ZA,1552023084,87,-34.53,20.04,15,1.5
60,Bure,12,NG,1552023858,32,10.52,10.33,19.87,2.86
61,Nanortalik,88,GL,1552023858,95,60.14,-45.24,-0.56,8.86
62,East London,40,ZA,1552021200,94,-33.02,27.91,20,6.7
63,Tarakan,75,ID,1552021200,70,3.3,117.63,30,1
64,Provideniya,68,RU,1552023859,100,64.42,-173.23,-4.29,12.31
65,Luderitz,0,NA,1552023859,79,-26.65,15.16,17.09,8.76
66,Touros,40,BR,1552021200,94,-5.2,-35.46,25,1.5
67,Kwekwe,0,ZW,1552023859,81,-18.93,29.81,19.39,3.41
68,Fortuna,0,ES,1552023811,57,38.18,-1.13,10,1
69,Mataura,8,NZ,1552023605,66,-46.19,168.86,15.56,2.24
70,Airai,92,TL,1552023860,96,-8.93,125.41,20.89,1.06
71,Aksu,90,KZ,1552023000,79,52.04,76.93,-4,5
72,Cape Town,20,ZA,1552023752,67,-33.93,18.42,17.22,9.8
73,Sobolevo,64,RU,1552023861,93,54.43,31.9,6.07,7.91
74,Hella,32,IS,1552023010,78,63.84,-20.4,-5,15.01
75,Kapaa,90,US,1552023810,83,22.08,-159.32,23,9.8
76,Ribeira Grande,92,PT,1552023861,94,38.52,-28.7,16.44,7.46
77,Hasaki,20,JP,1552023276,37,35.73,140.83,13.89,4.1
78,Seydi,8,NE,1552023862,30,13.34,7.75,19.09,4.01
79,Ancud,0,CL,1552021200,87,-41.87,-73.83,6,3.6
80,Hilo,90,US,1552023619,73,19.71,-155.08,22.22,3.6
81,Aykhal,76,RU,1552023862,70,65.95,111.51,-11.21,3.91
82,Kodiak,90,US,1552023820,95,39.95,-94.76,2.22,4.6
83,Kimbe,88,PG,1552023863,100,-5.56,150.15,24.79,0.76
84,Malumfashi,56,NG,1552023863,58,11.79,7.62,16.97,1.31
85,Hunchun,0,CN,1552023863,40,42.86,130.36,10.79,1.36
86,Thompson,20,CA,1552021200,60,55.74,-97.86,-12,1
87,Dhekiajuli,44,IN,1552023864,53,26.71,92.48,16.97,0.91
88,Bonawon,40,PH,1552021200,62,9.13,122.92,30,4.1
89,Ijui,12,BR,1552023864,81,-28.39,-53.91,23.12,5.61
90,Maroantsetra,12,MG,1552023864,96,-15.43,49.74,25.74,1.21
91,Ilulissat,0,GL,1552020600,41,69.22,-51.1,-4,15.4
92,Merta,0,IN,1552023865,39,26.65,74.03,27.34,1.86
93,Severo-Kurilsk,44,RU,1552023865,100,50.68,156.12,-2.31,5.61
94,Lerik,90,AZ,1552021200,87,38.78,48.42,8,1.11
95,Saint-Philippe,1,CA,1552023658,56,45.36,-73.48,-10,5.7
96,Zhigansk,36,RU,1552023866,59,66.77,123.37,-11.94,1.61
97,Cidreira,20,BR,1552023866,89,-30.17,-50.22,23.09,2.41
98,New Norfolk,75,AU,1552023439,77,-42.78,147.06,15,9.8
99,Bluff,88,AU,1552023867,54,-23.58,149.07,29.34,7.36
100,Mahon,75,IE,1552023354,100,51.89,-8.4,7.78,2.6
101,Storsteinnes,40,NO,1552022400,76,69.24,19.23,-13,5.7
102,Flinders,0,AU,1552023860,48,-34.58,150.85,30,7.2
103,Svetlaya,0,RU,1552023868,73,46.54,138.33,1.87,5.11
104,Sechura,24,PE,1552023868,90,-5.56,-80.82,23.44,2.11
105,Qaanaaq,0,GL,1552023603,93,77.48,-69.36,-24.66,2.76
106,Trelew,0,AR,1552023868,81,-43.25,-65.31,5.04,0.86
107,Dali,0,CN,1552023869,54,25.6,100.24,15.37,2.76
108,Waipawa,80,NZ,1552023256,77,-39.94,176.59,18.89,5.16
109,Dewas,20,IN,1552021200,30,22.96,76.05,28,2.1
110,Solnechnyy,12,RU,1552023869,73,50.72,136.64,-0.19,2.41
111,Ambon,0,FR,1552023867,93,47.55,-2.56,8.89,2.1
112,Lavrentiya,76,RU,1552023870,93,65.58,-170.99,-4.81,11.56
113,Loa Janan,76,ID,1552023870,56,-0.58,117.09,32.24,1.11
114,Avarua,92,CK,1552023000,78,-21.21,-159.78,27,2.6
115,Middelburg,92,ZA,1552023871,95,-25.77,29.46,17.22,1.81
116,Trairi,36,BR,1552023871,100,-3.28,-39.27,27.14,2.46
117,Los Llanos de Aridane,75,ES,1552021200,77,28.66,-17.92,18,7.7
118,Castro,0,CL,1552021200,87,-42.48,-73.76,6,3.6
119,Retz,0,AT,1552023866,70,48.76,15.95,11,4.6
120,Upernavik,32,GL,1552023872,100,72.79,-56.15,-12.39,6.16
121,Senanga,32,ZM,1552023873,74,-16.1,23.3,21.89,3.76
122,Deputatskiy,32,RU,1552023873,86,69.3,139.9,-14.91,1.21
123,Todos Santos,5,MX,1552023619,29,23.45,-110.23,25,4.6
124,Borogontsy,56,RU,1552023873,65,62.67,131.17,-10.91,2.66
125,Necochea,68,AR,1552023674,70,-38.55,-58.74,15.56,2.68
126,Ballina,88,IE,1552023784,88,54.11,-9.15,7.78,2.68
127,Linxia,76,CN,1552023874,68,35.6,103.21,-0.51,1.51
128,Caetite,0,BR,1552023874,92,-14.07,-42.48,19.94,3.66
129,Sanghar,40,PK,1552021200,72,28.18,68.31,19,3.1
130,San Policarpo,64,PH,1552023875,100,12.18,125.51,24.59,1.61
131,Turayf,0,SA,1552021200,86,31.68,38.65,5,4.1
132,Paamiut,80,GL,1552023875,86,61.99,-49.67,0.47,2.76
133,Khorixas,0,NA,1552023876,64,-20.37,14.96,15.84,1.06
134,Tetouan,56,MA,1552021200,76,35.57,-5.37,13,2.6
135,Pimentel,56,BR,1552023876,93,-3.7,-45.5,23.22,1.36
136,Hobart,75,AU,1552023439,77,-42.88,147.33,15,9.8
137,Saint George,0,GR,1552023796,81,39.45,22.34,9.44,2.1
138,Griffith,80,AU,1552021200,19,-34.29,146.06,33,3.6
139,Tilichiki,0,RU,1552023878,86,60.47,166.1,-10.54,1.81
140,Kibala,20,TD,1552023878,57,9.11,18.35,23.79,1.51
141,Sabang,92,PH,1552023878,95,13.72,123.58,24.97,3.36
142,San Luis,75,AR,1552022100,60,-33.3,-66.34,20,12.9
143,Djambala,48,CG,1552023880,92,-2.55,14.76,22.04,1.86
144,Auki,36,NG,1552023880,90,12.18,6.51,18.54,1.06
145,Camacha,40,PT,1552021200,72,33.08,-16.33,16,6.7
146,Alofi,20,NU,1552021200,74,-19.06,-169.92,28,5.1
147,Teguise,76,ES,1552021200,82,29.06,-13.56,18,5.7
148,Torbay,75,CA,1552023815,72,47.66,-52.73,-10.57,9.3
149,Vanimo,0,PG,1552023881,100,-2.67,141.3,28.39,1.96
150,Khatanga,20,RU,1552023881,71,71.98,102.47,-19.19,1.16
151,Port Elizabeth,1,US,1552023869,73,39.31,-74.98,-0.57,1.5
152,Atar,0,MR,1552023882,52,20.52,-13.05,13.69,4.66
153,Vestmanna,68,FO,1552022400,74,62.16,-7.17,-2,0.5
154,Tagnanan,40,PH,1552021200,49,7.26,125.86,33,4.6
155,Westport,80,IE,1552023784,86,53.8,-9.52,7.78,4.66
156,Bushehr,0,IR,1552021200,67,28.97,50.84,19,2.1
157,Esso,80,RU,1552023883,87,55.93,158.7,-7.36,1.16
158,Zavodouspenskoye,0,RU,1552023000,61,56.86,65.02,-8,7
159,Port Hedland,0,AU,1552023000,53,-20.31,118.58,36,9.3
160,Puerto Ayora,68,EC,1552023884,100,-0.74,-90.35,25.69,5.86
161,Vadso,20,NO,1552022400,84,70.07,29.75,-11,2.6
162,Kholtoson,0,RU,1552023884,59,50.3,103.31,-3.61,1.61
163,Conceicao do Araguaia,20,BR,1552023885,92,-8.26,-49.26,23.32,1.36
164,Tuatapere,24,NZ,1552023605,66,-46.13,167.69,15.56,2.24
165,Chilca,75,PE,1552023654,71,-13.22,-72.34,12,2.6
166,Yaring,20,TH,1552021200,66,6.87,101.37,30,3.6
167,Mujiayingzi,20,CN,1552023886,51,42.12,118.78,10.34,3.46
168,Springbok,0,ZA,1552023886,85,-29.67,17.88,11.79,1.21
169,Murray,90,US,1552023617,93,40.67,-111.89,7.22,3.1
170,Cherskiy,44,RU,1552023782,69,68.75,161.3,-18.76,0.71
171,Clarence Town,44,AU,1552023629,54,-32.59,151.78,31.67,6.7
172,Kurilsk,32,RU,1552023887,99,45.23,147.88,-4.56,7.91
173,Sorland,0,NO,1552020600,73,67.67,12.69,-7,5.1
174,Victoria Point,40,AU,1552023814,61,-27.58,153.3,30,5.7
175,Ginir,0,ET,1552023887,33,7.14,40.71,23.59,1.86
176,Selikhino,0,RU,1552023888,75,50.37,137.51,-1.36,2.76
177,Olinda,75,EC,1552023175,78,-2.03,-79.75,27,0.5
178,Rivadavia,80,AR,1552023888,86,-31.53,-68.59,17.89,3.91
179,Richards Bay,8,ZA,1552023888,82,-28.77,32.06,24.74,1.51
180,Aklavik,90,CA,1552021200,85,68.22,-135.01,-6,1
181,Lasa,0,CY,1552021200,87,34.92,32.53,10,3.6
182,Margate,75,AU,1552023439,77,-43.03,147.26,15,9.8
183,Kalemie,44,CD,1552023889,100,-5.95,29.2,21.87,2.66
184,Norman Wells,75,CA,1552021200,72,65.28,-126.83,-9,1.5
185,Kieta,76,PG,1552023890,100,-6.22,155.63,25.74,0.66
186,Vardo,1,US,1552023882,50,39.62,-77.74,-1,1.06
187,Lamar,1,US,1552023062,86,38.09,-102.62,-2,4.1
188,Ponta Delgada,75,PT,1552023571,82,37.73,-25.67,16,2.1
189,Spirit River,40,CA,1552023019,77,55.78,-118.84,-17.22,3.1
190,Vostok,0,RU,1552023891,45,46.45,135.83,2.82,2.06
191,Zabol,0,IR,1552021200,42,31.03,61.49,17,1.61
192,Talnakh,88,RU,1552023891,94,69.49,88.39,-2.94,3.81
193,Iqaluit,75,CA,1552023767,76,63.75,-68.52,-21.67,9.8
194,Isangel,75,VU,1552021200,66,-19.55,169.27,30,1.5
195,Shimoda,20,JP,1552023528,34,34.7,138.93,12,2.6
196,Nikolskoye,90,RU,1552023759,93,59.7,30.79,2,6
197,Buraydah,0,SA,1552021200,62,26.33,43.97,13,3.1
198,Nkowakowa,20,ZA,1552023000,77,-23.89,30.29,18,2.1
199,Bathsheba,40,BB,1552021200,78,13.22,-59.52,26,7.7
200,Hofn,68,IS,1552023893,100,64.25,-15.21,-1.31,7.46
201,Pisco,0,PE,1552021200,78,-13.71,-76.2,23,4.6
202,La Mana,75,EC,1552023085,93,-0.93,-79.22,11,2.6
203,Amapa,20,HN,1552021200,83,15.09,-87.97,25,3.1
204,Mount Darwin,8,ZW,1552023894,97,-16.77,31.58,21.09,1.81
205,Jieshou,36,CN,1552023894,54,33.26,115.35,13.59,3.86
206,Pevek,48,RU,1552023895,87,69.7,170.27,-18.11,0.91
207,Gornopravdinsk,80,RU,1552023895,69,60.06,69.92,-7.39,5.56
208,Talcahuano,0,CL,1552021200,82,-36.72,-73.12,13,2.6
209,Sola,40,NO,1552023798,64,58.89,5.65,4,12.9
210,Port Blair,20,IN,1552021200,62,11.67,92.75,30,4.1
211,La Ronge,5,CA,1552021200,70,55.1,-105.3,-20,0.96
212,Moussoro,8,TD,1552023896,21,13.64,16.49,22.22,5.91
213,Kuminskiy,56,RU,1552023897,76,58.67,66.57,-7.79,4.36
214,Skibbereen,75,IE,1552023000,100,51.55,-9.27,4,2.6
215,Sitka,0,US,1552023021,88,37.17,-99.65,-1.67,2.24
216,Erzin,0,TR,1552023893,46,36.95,36.2,11.11,2.6
217,Hithadhoo,0,MV,1552023898,100,-0.6,73.08,28.32,1.51
218,Pajapan,92,MX,1552023898,90,18.26,-94.69,22.29,2.91
219,Haiger,92,DE,1552023857,79,50.74,8.2,7.78,1.79
220,Benxi,0,CN,1552023000,12,41.29,123.76,15,8
221,Payakumbuh,56,ID,1552023899,85,-0.23,100.63,25.74,0.46
222,Port Macquarie,40,AU,1552023845,58,-31.43,152.91,28,6.7
223,Bogorodskoye,24,RU,1552023739,55,52.37,140.44,-0.96,2.86
224,Esperance,20,TT,1552023607,83,10.24,-61.45,25,2.1
225,Turukhansk,88,RU,1552023900,93,65.8,87.96,-1.31,9.86
226,Klaksvik,48,FO,1552022400,74,62.23,-6.59,-2,0.5
227,Alakurtti,64,RU,1552023900,74,66.96,30.34,-16.61,1.06
228,Xuanzhou,8,CN,1552023900,61,30.95,118.78,12.99,7.01
229,Hettstedt,40,DE,1552023814,67,51.65,11.5,8.33,11.3
230,Lorengau,68,PG,1552023901,100,-2.02,147.27,25.79,2.86
231,Jalu,0,LY,1552023902,64,29.03,21.55,9.54,2.01
232,Shingu,20,JP,1552021200,37,33.72,135.99,12,7.2
233,Hambantota,40,LK,1552021800,74,6.12,81.12,31,2.1
234,Oakdale,75,US,1552023617,100,37.77,-120.85,10,2.41
235,Magistralnyy,24,RU,1552023904,54,56.17,107.45,-3.91,2.21
236,Port Lincoln,88,AU,1552023904,71,-34.72,135.86,22.87,1.61
237,Lompoc,92,US,1552023722,93,34.64,-120.46,9.44,3.01
238,Sungaipenuh,20,ID,1552023904,75,-2.08,101.38,25.47,0.61
239,Coruripe,92,BR,1552023905,97,-10.12,-36.18,27.69,4.21
240,Banda Aceh,0,ID,1552023905,63,5.56,95.32,31.39,2.26
241,Cachira,75,CO,1552021200,78,7.74,-73.05,25,1
242,Fort William,56,GB,1552023845,89,56.82,-5.11,-1.11,1.56
243,Yeppoon,75,AU,1552023000,94,-23.13,150.74,25,2.6
244,Lengshuitan,100,CN,1552023906,100,26.41,111.6,9.74,2.26
245,Dunedin,0,NZ,1552023624,65,-45.87,170.5,14.44,4.92
246,Dikson,68,RU,1552023906,95,73.51,80.55,-11.71,4.51
247,Karratha,48,AU,1552023907,25,-20.74,116.85,38.24,4.21
248,Ahuimanu,40,US,1552023789,88,21.44,-157.84,23,5.7
249,Boyolangu,64,ID,1552023907,80,-8.09,111.9,26.47,5.46
250,Etchojoa,12,MX,1552023741,85,26.91,-109.62,20.56,0.89
251,Kaitangata,0,NZ,1552023883,71,-46.28,169.85,14.44,5.81
252,Kosai,20,JP,1552023855,34,34.71,137.53,14.44,5.7
253,Ambulu,88,ID,1552023909,100,-8.35,113.61,27.82,7.41
254,Bethel,90,US,1552020960,74,60.79,-161.76,2,4.6
255,Katsuura,20,JP,1552022684,40,33.93,134.5,11,4.6
256,Providencia,76,CO,1552023910,94,1.24,-77.6,10.74,1.06
257,Panaba,0,MX,1552023911,64,21.28,-88.27,21.59,2.86
258,Russell,75,AR,1552021200,72,-33.01,-68.8,19,4.6
259,Yulara,0,AU,1552021200,9,-25.24,130.99,40,4.1
260,Bay Roberts,75,CA,1552023906,72,47.58,-53.28,-10.57,9.3
261,Galle,75,US,1552023910,93,29.74,-97.91,18.89,5.7
262,Nampula,75,MZ,1552021200,100,-15.12,39.26,24,4.1
263,Areka,8,ET,1552023912,78,7.07,37.71,18.59,1.56
264,Dingle,0,PH,1552023913,39,11,122.67,32.59,5.66
265,Lakselv,0,NO,1552022400,77,70.05,24.96,-18,2.6
266,Lata,8,IN,1552023913,66,30.78,78.62,8.64,0.71
267,Bad Bevensen,75,DE,1552023717,87,53.08,10.57,8,10.3
268,Komsomolskiy,68,RU,1552023913,83,67.55,63.78,-11.06,7.06
269,Yakeshi,44,CN,1552023914,32,49.28,120.73,5.09,4.66
270,Penzance,0,GB,1552023904,81,50.12,-5.53,8.89,2.6
