,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Nome,90,US,1552023907,88,30.04,-94.42,20,3.6
272,Edd,12,ER,1552023914,60,13.93,41.69,24.07,1.56
273,Logansport,40,US,1552023911,79,40.75,-86.36,-2,1.5
274,Yumen,0,CN,1552023915,44,40.29,97.04,9.37,4.66
275,Madras,90,US,1552023909,85,44.63,-121.13,-1.11,1.36
276,Oakley,75,US,1552023911,75,38,-121.71,9.44,3.6
277,Ginda,40,IN,1552021200,49,30.69,78.49,20,1.5
278,Matay,0,EG,1552023916,82,28.42,30.79,10.97,4.26
279,Bambous Virieux,40,MU,1552023843,66,-20.34,57.76,30,1.5
280,San Pedro,32,AR,1552023232,96,-33.68,-59.66,20,0.89
281,Sompeta,0,IN,1552023918,59,18.93,84.6,30.09,1.86
282,Jicin,0,CZ,1552023801,70,50.44,15.35,7.78,4.1
283,Ingham,76,AU,1552023919,100,-18.65,146.16,25.87,2.91
284,Vestmannaeyjar,32,IS,1552023919,99,63.44,-20.27,1.94,15.01
285,San Patricio,48,PY,1552023920,80,-26.98,-56.83,26.04,2.91
286,Cabedelo,75,BR,1552022520,94,-6.97,-34.84,25,2.6
287,Hirtshals,92,DK,1552023921,98,57.59,9.96,5.09,7.26
288,Port-Gentil,40,GA,1552021200,94,-0.72,8.78,26,1
289,Seidu,68,NG,1552023921,91,8.32,4.47,24.32,3.66
290,Sapozhok,88,RU,1552023654,60,53.94,40.68,-3.33,2.68
291,Dolgorukovo,80,RU,1552023922,94,52.32,38.35,-0.81,7.46
292,Pacific Grove,90,US,1552023921,87,36.62,-121.92,9.44,2.1
293,Formosa,0,AR,1552021200,88,-26.19,-58.17,24,3.6
294,Nouadhibou,0,MR,1552023922,79,20.93,-17.03,16.97,8.81
295,Kumluca,0,TR,1552023923,61,36.37,30.29,1.54,0.66
296,Natal,40,BR,1552021200,88,-5.81,-35.21,26,2.1
297,Almeirim,75,PT,1552023911,81,39.21,-8.63,13,5.1
298,Camargo,56,MX,1552023923,25,27.69,-105.17,16.82,3.16
299,Qaqortoq,56,GL,1552023924,81,60.72,-46.03,0.44,12.16
300,Codrington,90,AU,1552023862,69,-28.95,153.24,27.22,4.6
301,Haines Junction,0,CA,1552023924,57,60.75,-137.51,-22.64,0.91
302,Derzhavinsk,80,KZ,1552023924,100,51.1,66.31,-1.19,4.91
303,Linfen,76,CN,1552023925,56,36.09,111.52,6.82,1.16
304,San Jeronimo,68,PE,1552023925,98,-13.65,-73.37,3.37,0.41
305,Monrovia,20,LR,1552021200,94,6.33,-10.8,23,1.76
306,Eyl,76,SO,1552023925,93,7.98,49.82,25.32,5.81
307,Bisira,0,PA,1552023926,71,8.52,-81.71,22.64,3.31
308,Fort Nelson,5,CA,1552021200,78,58.81,-122.69,-12,1
309,Divo,0,CI,1552023926,95,5.83,-5.36,23.49,3.11
310,Guapiles,0,CR,1552023561,68,10.22,-83.79,21,6.7
311,Arsenyev,0,RU,1552023927,28,44.16,133.27,7.74,2.41
312,Chanika,24,MW,1552023927,96,-12.93,34.19,23.22,1.96
313,Tigre,90,AR,1552023902,88,-34.42,-58.58,21,1.5
314,Rocha,100,UY,1552023927,98,-34.48,-54.34,19.79,2.06
315,Matagami,48,NG,1552023928,84,9.67,8.4,17.64,1.21
316,Riyadh,0,SA,1552021200,30,24.63,46.72,15,2.6
317,Chuy,88,UY,1552023928,100,-33.69,-53.46,20.94,5.26
318,Wanning,75,AT,1552023917,75,48.64,13.53,7.22,3.1
319,Soc Trang,40,VN,1552023000,46,9.6,105.98,33,1.5
320,Ibra,0,OM,1552023929,56,22.69,58.55,20.54,1.51
321,Stokmarknes,0,NO,1552023915,62,68.56,14.91,-3,4.6
322,Abha,40,SA,1552021200,71,18.22,42.5,15,6.2
323,Beloyarskiy,0,RU,1552023930,62,63.71,66.67,-8.01,5.11
324,Guerrero Negro,92,MX,1552023930,100,27.97,-114.04,14.97,3.76
325,Goderich,12,CA,1552023906,85,43.74,-81.71,-11.11,2.68
326,Marsh Harbour,56,BS,1552023930,100,26.54,-77.06,21.47,7.16
327,Belyy Yar,0,RU,1552023000,46,53.6,91.39,-1,2
328,Stromness,20,CA,1552023925,77,42.87,-79.55,-10.57,2.1
329,Saint-Georges,32,CA,1552023930,69,46.12,-70.67,-12.22,1.34
330,Simao,92,CN,1552023932,83,22.76,100.79,18.32,1.36
331,Kiruna,0,SE,1552022400,78,67.86,20.23,-13,2.6
332,Peoria,90,US,1552023793,86,40.69,-89.59,-2,2.6
333,Havoysund,40,NO,1552022400,79,71,24.66,-7,1.5
334,Panalingaan,32,PH,1552023932,68,8.78,117.42,29.99,3.16
335,Buala,44,SB,1552023933,96,-8.15,159.59,28.12,2.31
336,Pedernales,88,EC,1552023933,98,0.07,-80.05,22.97,1.51
337,Miri,12,NG,1552023933,56,10.31,9.75,16.32,1.41
338,Nago,8,IT,1552023905,93,45.88,10.89,9.44,1.5
339,Mount Isa,0,AU,1552023000,23,-20.73,139.49,37,6.7
340,Turtas,0,RU,1552023934,60,58.94,69.13,-6.36,4.51
341,Mildura,88,AU,1552023044,8,-34.18,142.16,31.67,2.1
342,Coolum Beach,92,AU,1552023930,65,-26.53,153.09,27.78,0.89
343,Kodinar,0,IN,1552023935,33,20.79,70.7,30.54,2.91
344,Makakilo City,20,US,1552023928,60,21.35,-158.09,23,3.6
345,Jardim,64,BR,1552023935,64,-21.48,-56.15,27.37,4.81
346,Praia,0,BR,1552021200,77,-20.25,-43.81,21,2.1
347,Porbandar,40,IN,1552023000,54,21.64,69.61,27,6.2
348,Namatanai,20,PG,1552023936,100,-3.66,152.44,27.57,0.66
349,Chitral,12,PK,1552023936,81,35.85,71.79,-12.06,0.46
350,Srandakan,92,ID,1552023936,85,-7.94,110.25,26.79,1.96
351,Epanomi,75,GR,1552023934,100,40.43,22.93,11.11,2.6
352,Berlevag,40,NO,1552020600,85,70.86,29.09,-9,5.7
353,Hualmay,0,PE,1552023937,91,-11.1,-77.61,19.94,1.41
354,Ilek,0,RU,1552023937,71,51.53,53.38,-11.46,1.36
355,Craig,75,US,1552023480,80,40.52,-107.55,1,3.1
356,San Carlos,0,VE,1552023938,69,9.66,-68.59,25.34,4.36
357,Las Vegas,90,US,1552023636,47,36.17,-115.15,14.44,2.86
358,Dryden,24,CA,1552023939,75,49.79,-92.84,-15.31,2.66
359,Tiznit,8,MA,1552023797,91,29.7,-9.73,12.12,4.36
360,Poum,80,MK,1552023939,73,41.28,20.71,-0.06,0.76
361,Kawambwa,24,ZM,1552023940,86,-9.8,29.07,22.04,1.11
362,Awjilah,0,LY,1552023940,57,29.14,21.3,10.64,3.21
363,Chapais,40,CA,1552021200,77,49.78,-74.86,-18,3.1
364,Faya,40,SA,1552021200,71,18.39,42.45,15,6.2
365,Nishihara,20,JP,1552023903,29,35.74,139.53,14.44,7.7
366,San Pedro de Tutule,40,HN,1552021080,83,14.25,-87.86,22,6.2
367,Mahajanga,20,MG,1552021200,69,-15.72,46.32,28,1
368,Ketchikan,1,US,1552020960,69,55.34,-131.65,1,2.6
369,Naini Tal,0,IN,1552023942,58,29.4,79.45,20.34,1.31
370,Skagen,88,SE,1552023926,93,58.6,13.44,5,5.1
371,Cockburn Town,92,TC,1552023942,100,21.46,-71.14,23.49,7.96
372,Koslan,88,RU,1552023942,79,63.46,48.9,-6.36,2.46
373,Suez,20,EG,1552023942,90,29.97,32.54,11.24,1.61
374,Yerbogachen,92,RU,1552023943,69,61.28,108.01,-6.14,4.66
375,Changping,0,CN,1552023844,17,40.22,116.23,14.44,5
376,Yanam,40,IN,1552023000,52,16.73,82.22,33,4.6
377,Chik,0,RU,1552023000,68,54.99,82.44,-2,7
378,Itarema,32,BR,1552023944,95,-2.92,-39.92,23.12,1.61
379,Celestun,0,MX,1552023944,94,20.87,-90.4,25.79,9.76
380,Niamtougou,12,TG,1552023944,90,9.77,1.11,20.22,1.21
381,Yuzhnyy,92,RU,1552023944,91,53.54,39.45,-3.01,8.76
382,Leshukonskoye,64,RU,1552023945,79,64.9,45.76,-6.31,2.06
383,Carauari,12,BR,1552023945,91,-4.88,-66.9,25.69,0.91
384,Carutapera,92,BR,1552023945,97,-1.2,-46.02,23.74,1.31
385,Shenkursk,92,RU,1552023945,83,62.11,42.91,-3.19,3.36
386,Jinchang,8,CN,1552023945,88,38.52,102.19,2.24,3.36
387,Samarai,36,PG,1552023946,99,-10.62,150.67,29.04,5.71
388,Scottsbluff,90,US,1552023915,100,41.87,-103.67,-1.67,3.36
389,Hays,75,US,1552023931,92,38.88,-99.33,-1,2.1
390,Roura,0,GF,1552023000,94,4.73,-52.33,22,0.5
391,La Orilla,0,MX,1552023947,100,18,-102.23,21.32,0.91
392,Ulety,0,RU,1552023947,33,51.36,112.48,-1.94,4.51
393,Borazjan,0,IR,1552021200,67,29.27,51.21,16,2.1
394,Saurimo,92,AO,1552023948,99,-9.66,20.4,17.59,2.76
395,Tornio,90,FI,1552023687,100,61.12,27.27,2,4.6
396,Rio Grande,24,BR,1552023939,92,-32.03,-52.1,24.32,4.71
397,Maniitsoq,32,GL,1552023948,65,65.42,-52.9,-6.29,5.01
398,Bilibino,68,RU,1552023948,91,68.06,166.44,-12.44,1.06
399,Kununurra,40,AU,1552023000,21,-15.77,128.74,40,5.1
400,Salalah,0,OM,1552020600,13,17.01,54.1,29,6.2
401,Havre-Saint-Pierre,20,CA,1552021200,49,50.23,-63.6,-16,9.3
402,Grindavik,0,IS,1552023556,73,63.84,-22.43,-2,5.1
403,Skjervoy,0,NO,1552020600,65,70.03,20.97,-14,7.7
404,Calamar,92,CO,1552023950,97,1.96,-72.65,22.29,0.71
405,Batagay-Alyta,48,RU,1552023950,76,67.8,130.41,-12.61,1.51
406,Hami,0,CN,1552023950,60,42.84,93.51,11.97,0.26
407,Mandalgovi,48,MN,1552023951,84,45.76,106.27,2.62,6.01
408,Roswell,1,US,1552023835,26,33.39,-104.52,21,5.36
409,Polunochnoye,20,RU,1552023951,72,60.87,60.43,-6.51,4.66
410,Lagoa,0,PT,1552023731,87,37.14,-8.45,10,1.5
411,Sao Filipe,0,CV,1552023952,95,14.9,-24.5,21.32,8.11
412,Vermillion,90,US,1552023936,85,42.78,-96.93,-6,2.1
413,Pochutla,5,MX,1552023071,69,15.74,-96.47,27,2.6
414,Rio Gallegos,20,AR,1552021200,80,-51.62,-69.22,4,9.8
415,Nemuro,40,JP,1552021200,100,43.32,145.57,0,6.2
416,Victor Harbor,0,AU,1552023946,44,-35.55,138.62,25.56,3.6
417,Ponta do Sol,80,BR,1552023954,95,-20.63,-46,18.54,0.96
418,Zhangye,20,CN,1552023954,78,38.94,100.46,6.82,2.96
419,Muyezerskiy,92,RU,1552023954,92,63.93,31.65,-4.94,2.51
420,Kudahuvadhoo,56,MV,1552023954,100,2.67,72.89,27.64,1.51
421,Sulphur Springs,1,US,1552023928,82,33.14,-95.6,18,7.2
422,Beberibe,75,BR,1552023212,94,-4.18,-38.13,26.11,2.6
423,Souillac,90,FR,1552023842,100,45.6,-0.6,8,3.1
424,Inta,76,RU,1552023955,74,66.04,60.13,-8.54,4.46
425,Warrenton,88,ZA,1552023956,86,-28.11,24.85,18.89,1.31
426,East Wenatchee Bench,1,US,1552023935,85,47.43,-120.28,-2,1.16
427,Nova Vicosa,88,BR,1552023956,85,-17.89,-39.37,26.72,1.11
428,Padang,20,ID,1552021200,70,-0.92,100.36,31,4.1
429,Port Hardy,20,CA,1552021200,86,50.7,-127.42,-2,2.6
430,Emerald,40,AU,1552023840,36,-23.53,148.16,34,6.2
431,Nara,40,JP,1552023870,34,34.68,135.8,12,4.6
432,Kyzyl-Suu,64,KG,1552023808,86,42.34,78,-13.89,0.86
433,Iwaki,75,JP,1552023202,51,37.05,140.89,9.44,7.2
434,Fernley,90,US,1552023909,74,39.61,-119.25,6,3.6
435,Dillon,1,US,1552023075,73,45.22,-112.64,-4,1.86
436,Mehamn,40,NO,1552022400,85,71.03,27.85,-7,5.7
437,Carahue,0,CL,1552021200,87,-38.71,-73.16,11,3.1
438,Santa Luzia,0,BR,1552021200,77,-19.77,-43.85,21,2.1
439,Conde,92,BR,1552023960,81,-11.81,-37.61,27.39,2.41
440,Luwuk,56,ID,1552023961,80,-0.95,122.79,29.19,2.01
441,Berea,75,US,1552023956,62,41.37,-81.85,-6,1.5
442,Puerto Escondido,5,MX,1552020000,69,15.86,-97.07,27,2.6
443,Bukan,56,IR,1552023962,65,36.52,46.21,2.72,1.86
444,Kawalu,8,ID,1552023962,95,-7.38,108.21,24.12,1.31
445,Takoradi,24,GH,1552023962,100,4.89,-1.75,27.39,2.56
446,Ahipara,20,NZ,1552021564,100,-35.17,173.16,20.56,3.61
447,Jambi,12,ID,1552023963,78,-1.6,103.62,31.37,1.76
448,Maragogi,80,BR,1552023963,100,-9.01,-35.22,23.59,1.06
449,Denpasar,92,ID,1552021200,83,-8.65,115.22,28,7.7
450,Leh,20,IN,1552023963,82,34.16,77.58,-18.71,0.01
451,Vila Velha,75,BR,1552023491,94,-3.71,-38.6,26.11,2.6
452,Dolores,36,AR,1552023964,73,-36.31,-57.68,16.99,7.16
453,Rudnyy,0,KZ,1552023000,66,52.96,63.12,-11,2
454,Mount Gambier,90,AU,1552021200,49,-37.83,140.78,20,3.1
455,Libreville,20,GA,1552021200,88,0.39,9.45,26,2.6
456,Makokou,12,GA,1552023965,97,0.56,12.85,21.94,1.16
457,Sept-Iles,40,CA,1552023070,53,50.2,-66.38,-17.22,2.6
458,Palestina,75,EC,1552023175,78,-1.63,-79.98,27,0.5
459,Viedma,0,AR,1552023966,63,-40.81,-62.99,12.14,4.76
460,Hanzhong,88,CN,1552023966,84,33.08,107.03,6.87,1.41
461,Meulaboh,0,ID,1552023966,99,4.14,96.13,29.82,0.91
462,Partyzany,0,UA,1552023966,94,45.14,35.15,7.32,5.46
463,Mokrous,0,RU,1552023966,75,51.24,47.51,-11.01,3.56
464,Trapani,0,IT,1552023941,87,38.02,12.54,13.89,5.7
465,Loudi,80,CN,1552023967,100,27.73,112,9.49,2.86
466,Calabozo,0,VE,1552023967,63,8.92,-67.43,25.62,6.26
467,Quatre Cocos,40,MU,1552023843,66,-20.21,57.76,30,1.5
468,Senneterre,1,CA,1552021200,77,48.39,-77.24,-18,3.6
469,Kantunilkin,40,MX,1552023786,78,21.1,-87.49,23,3.1
470,Honningsvag,40,NO,1552022400,79,70.98,25.97,-7,1.5
471,Ekibastuz,80,KZ,1552023969,100,51.72,75.32,-3.39,3.46
472,Marondera,12,ZW,1552023969,81,-18.19,31.55,18.84,1.96
473,,,,,,,,,
474,Hernani,75,ES,1552023949,87,43.27,-1.98,11,1.51
475,Rawson,0,AR,1552023816,81,-43.3,-65.11,5.04,0.86
476,Keti Bandar,68,PK,1552023970,95,24.14,67.45,22.94,3.31
477,Tynda,0,RU,1552023970,49,55.15,124.74,-5.81,4.01
478,Siddapur,0,IN,1552023970,28,13.66,74.91,32.99,0.76
479,Rovinj,40,HR,1552023798,81,45.08,13.64,13,1.5
480,Nabire,80,ID,1552023904,89,-3.36,135.5,24.19,0.66
481,Zonguldak,0,TR,1552022280,80,41.25,31.83,6.11,2.1
482,Mountain Home,90,US,1552023764,100,43.13,-115.69,4,2.6
483,Shelburne,1,CA,1552023963,91,44.08,-80.2,-12.22,1
484,Khani,75,GE,1552023000,93,41.96,42.96,8,1.5
485,Inongo,80,CD,1552023972,99,-1.93,18.29,22.14,1.36
486,Tubuala,20,PA,1552021238,69,9.52,-79.03,26,2.1
487,Luebo,92,CD,1552023972,100,-5.35,21.42,21.87,1.06
488,Mareeba,40,AU,1552023799,79,-16.99,145.42,29.44,3.6
489,Biharamulo,80,TZ,1552023973,95,-2.64,31.31,17.49,1.81
490,Hun,75,BE,1552023937,93,50.34,4.87,6,5.7
491,Sierpc,0,PL,1552023973,75,52.85,19.67,5.94,7.06
492,Broome,0,GB,1552023964,89,52.47,1.45,3.89,3.6
493,Manacapuru,0,BR,1552021200,83,-3.3,-60.62,26,2.1
494,Kahramanmaras,0,TR,1552023600,51,37.58,36.93,7.78,2.1
495,Saint-Joseph,0,FR,1552023944,57,43.56,6.97,10.56,1
496,Ulladulla,0,AU,1552023950,48,-35.36,150.48,28.33,7.2
497,Lashio,76,MM,1552023975,75,22.93,97.75,21.97,1.16
498,Batagay,80,RU,1552023975,82,67.65,134.64,-13.86,1.81
499,Sorong,56,ID,1552023975,100,-0.86,131.25,27.32,2.06
500,Sibolga,56,ID,1552023976,66,1.74,98.78,28.94,0.31
501,Huilong,92,CN,1552023976,91,28.89,110.18,6.14,1.51
502,Sarh,20,TD,1552023976,57,9.14,18.39,23.79,1.51
503,Changji,44,CN,1552023976,57,32.07,116.17,12.44,4.51
504,Doha,0,QA,1552021200,48,25.29,51.53,19,3.1
505,Chalmette,40,US,1552023970,82,29.94,-89.96,15.56,5.16
506,Nabha,24,IN,1552023977,56,30.37,76.15,21.89,0.71
507,Bluefield,90,US,1552023686,74,37.27,-81.22,0.56,1.5
508,Puerto Baquerizo Moreno,48,EC,1552023977,99,-0.9,-89.6,25.97,7.26
509,Wynyard,44,CA,1552023978,85,51.77,-104.18,-10.94,3.56
510,Dakoro,8,NE,1552023978,30,14.51,6.76,21.37,4.76
511,Kuzino,76,RU,1552023978,68,57.02,59.44,-8.41,5.36
512,Santiago del Estero,12,AR,1552023978,96,-27.8,-64.26,24.07,1.61
513,Kavaratti,0,IN,1552023979,100,10.57,72.64,27.54,2.56
514,Campeche,5,MX,1552020240,88,19.84,-90.54,22,4.66
515,Beringovskiy,88,RU,1552023979,91,63.05,179.32,-4.64,11.06
516,Muriwai Beach,68,NZ,1552023976,93,-36.82,174.45,18.33,2.6
517,Inirida,64,CO,1552023980,96,3.87,-67.92,23.12,0.71
518,The Valley,40,AI,1552023914,69,18.22,-63.06,25,5.7
519,Yablonovo,0,RU,1552023000,94,50.85,37.36,2,8
520,San Cristobal,75,EC,1552023085,93,-0.39,-78.55,13,1
521,Kabanjahe,20,ID,1552021200,75,3.1,98.49,32,4.6
522,Asyut,0,EG,1552023981,73,27.18,31.19,10.12,1.36
523,Maceio,75,BR,1552021200,88,-9.67,-35.74,25,3.1
524,Husavik,0,CA,1552023872,84,50.56,-96.99,-15,2.24
525,Paita,36,PE,1552023982,86,-5.09,-81.11,22.22,1.11
526,Makamba,20,BI,1552023982,97,-4.13,29.8,19.19,1.86
527,Manama,0,AE,1552021200,60,25.33,56.02,22,4.1
528,Biak,56,ID,1552023982,80,-0.91,122.88,29.19,2.01
529,Huanren,0,CN,1552023983,36,41.26,125.37,9.64,3.01
530,Okhotsk,0,RU,1552023983,83,59.36,143.24,-6.96,1.81
531,Flin Flon,0,CA,1552023983,64,54.77,-101.88,-18.14,1.41
532,Zhoukou,12,CN,1552023983,50,33.63,114.64,13.94,3.36
533,Ucluelet,0,CA,1552023626,94,48.94,-125.55,-0.57,0.76
534,Temyasovo,0,RU,1552023000,51,52.99,58.1,-11,2
535,Kontagora,12,NG,1552023984,90,10.4,5.47,21.49,2.41
536,Kiunga,24,PG,1552023984,83,-6.12,141.3,27.64,0.41
537,Bayan,88,MN,1552023985,40,47.25,107.54,0.59,4.01
538,Agua Dulce,0,MX,1552023985,95,18.14,-94.15,23.34,3.21
539,Oussouye,0,SN,1552023985,74,12.49,-16.54,19.47,6.56
540,Lexington,90,US,1552023984,76,38.05,-84.5,1.11,3.41
541,Imbituba,40,BR,1552021200,88,-28.24,-48.67,26,2.6
542,Punto Fijo,8,VE,1552023986,80,11.69,-70.21,24.54,7.06
543,Jining,88,CN,1552023986,42,35.41,116.58,13.04,4.21
544,Rome,20,IT,1552023784,87,41.89,12.48,13,2.1
